method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
random,rrg,0.0,0.3,0.3,0,0.704,0.7,0.0,0.0,17.244758506894446,20.549202,253.9189189189189,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,1,0.7,0.7,0.0,0.0,17.377495033822775,20.605276,254.30666666666667,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,2,0.698,0.7,0.0,0.0,17.191984051623514,20.404741,263.0331125827815,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,3,0.676,0.70000005,0.0,0.0,17.805048516600678,20.588245,245.80864197530863,0.0,0.0,0.0
random,rrg,0.0,0.3,0.3,4,0.674,0.7,0.0,0.0,17.69541220322882,20.260672,245.21472392638037,0.0,0.0,0.0
random,rrg,0.1,0.3,0.3,0,0.67,,-0.006097560975609762,,,,229.96341463414635,0.4864864864864865,0.10975609756097561,0.1791044776119403
random,rrg,0.1,0.3,0.3,1,0.718,0.72579384,0.060000000000000046,0.0859795,13.486564509358955,16.499285,200.41333333333333,0.6363636363636364,0.14,0.22950819672131148
random,rrg,0.1,0.3,0.3,2,0.696,0.7240809,0.031847133757961464,0.08026977,13.695518868442068,16.301373,216.22929936305732,0.5714285714285714,0.12738853503184713,0.20833333333333334
random,rrg,0.1,0.3,0.3,3,0.718,0.72720796,0.07236842105263164,0.090693235,13.394796927608313,16.021772,209.7434210526316,0.6774193548387096,0.13815789473684212,0.2295081967213115
random,rrg,0.1,0.3,0.3,4,0.726,0.725385,0.12179487179487188,0.084616736,13.720728598715452,16.264818,202.89743589743588,0.7209302325581395,0.1987179487179487,0.31155778894472363
random,rrg,0.2,0.3,0.3,0,0.734,0.74855566,0.11333333333333341,0.16185224,10.920454137371916,13.75174,189.42,0.6075949367088608,0.32,0.41921397379912667
random,rrg,0.2,0.3,0.3,1,0.764,,0.21333333333333349,,,,174.48,0.7666666666666667,0.30666666666666664,0.4380952380952381
random,rrg,0.2,0.3,0.3,2,0.774,,0.1171875000000001,,,,170.5234375,0.6271186440677966,0.2890625,0.3957219251336898
random,rrg,0.2,0.3,0.3,3,0.762,0.7619132,0.15602836879432636,0.2063773,10.798124111952362,13.08526,186.46808510638297,0.671875,0.3049645390070922,0.4195121951219512
random,rrg,0.2,0.3,0.3,4,0.72,0.7631804,0.1666666666666665,0.21060129,11.027790276375395,13.069338,189.63095238095238,0.7333333333333333,0.2619047619047619,0.38596491228070173
random,rrg,0.30000000000000004,0.3,0.3,0,0.76,,0.2356687898089171,,,,163.80891719745222,0.7228915662650602,0.3821656050955414,0.5
random,rrg,0.30000000000000004,0.3,0.3,1,0.776,,0.17647058823529427,,,,150.69117647058823,0.6395348837209303,0.40441176470588236,0.49549549549549543
random,rrg,0.30000000000000004,0.3,0.3,2,0.776,0.78651035,0.2328767123287673,0.28836787,8.539412303947655,10.639353,152.6164383561644,0.6888888888888889,0.4246575342465753,0.5254237288135594
random,rrg,0.30000000000000004,0.3,0.3,3,0.758,0.79656655,0.22929936305732473,0.3218885,10.058617068249278,10.519303,152.5796178343949,0.7045454545454546,0.39490445859872614,0.5061224489795919
random,rrg,0.30000000000000004,0.3,0.3,4,0.798,,0.2785714285714288,,,,150.5,0.7349397590361446,0.4357142857142857,0.547085201793722
random,rrg,0.4,0.3,0.3,0,0.786,,0.29605263157894757,,,,131.18421052631578,0.7368421052631579,0.4605263157894737,0.5668016194331984
random,rrg,0.4,0.3,0.3,1,0.788,0.8148811,0.30718954248366037,0.38293698,7.339183246248989,8.913336,138.0261437908497,0.719626168224299,0.5032679738562091,0.5923076923076923
random,rrg,0.4,0.3,0.3,2,0.804,0.81799555,0.3146853146853149,0.3933185,8.015522128176098,9.192002,124.36363636363636,0.7227722772277227,0.5104895104895105,0.5983606557377048
random,rrg,0.4,0.3,0.3,3,0.804,,0.36774193548387124,,,,132.21935483870968,0.7821782178217822,0.5096774193548387,0.6171875000000001
random,rrg,0.4,0.3,0.3,4,0.792,,0.29729729729729754,,,,133.88513513513513,0.7,0.5202702702702703,0.5968992248062015
random,rrg,0.5,0.3,0.3,0,0.83,,0.4295302013422818,,,,113.60402684563758,0.7857142857142857,0.5906040268456376,0.6743295019157088
random,rrg,0.5,0.3,0.3,1,0.812,,0.3605442176870751,,,,117.31972789115646,0.7154471544715447,0.5986394557823129,0.6518518518518518
random,rrg,0.5,0.3,0.3,2,0.832,,0.39130434782608686,,,,115.5072463768116,0.7410714285714286,0.6014492753623188,0.664
random,rrg,0.5,0.3,0.3,3,0.836,,0.42253521126760557,,,,109.42957746478874,0.7631578947368421,0.6126760563380281,0.6796875
random,rrg,0.5,0.3,0.3,4,0.824,,0.46341463414634126,,,,117.76219512195122,0.7923076923076923,0.6280487804878049,0.7006802721088435
random,rrg,0.6000000000000001,0.3,0.3,0,0.862,,0.5548387096774194,,,,104.09677419354838,0.8208955223880597,0.7096774193548387,0.7612456747404844
random,rrg,0.6000000000000001,0.3,0.3,1,0.888,,0.5942028985507247,,,,91.3623188405797,0.8306451612903226,0.7463768115942029,0.7862595419847328
random,rrg,0.6000000000000001,0.3,0.3,2,0.87,,0.5806451612903226,,,,103.44516129032257,0.8688524590163934,0.6838709677419355,0.7653429602888085
random,rrg,0.6000000000000001,0.3,0.3,3,0.876,,0.6075949367088607,,,,104.4873417721519,0.8934426229508197,0.689873417721519,0.7785714285714285
random,rrg,0.6000000000000001,0.3,0.3,4,0.878,,0.5514705882352942,,,,93.55147058823529,0.8099173553719008,0.7205882352941176,0.762645914396887
random,rrg,0.7000000000000001,0.3,0.3,0,0.918,,0.6870229007633589,,,,82.31297709923665,0.8409090909090909,0.8473282442748091,0.8441064638783269
random,rrg,0.7000000000000001,0.3,0.3,1,0.906,,0.6866666666666668,,,,88.63333333333334,0.8652482269503546,0.8133333333333334,0.8384879725085911
random,rrg,0.7000000000000001,0.3,0.3,2,0.872,,0.6,,,,99.8875,0.8243243243243243,0.7625,0.7922077922077922
random,rrg,0.7000000000000001,0.3,0.3,3,0.912,,0.7142857142857144,,,,90.01298701298701,0.8985507246376812,0.8051948051948052,0.8493150684931507
random,rrg,0.7000000000000001,0.3,0.3,4,0.882,,0.6092715231788081,,,,89.89403973509934,0.8333333333333334,0.7615894039735099,0.7958477508650519
random,rrg,0.8,0.3,0.3,0,0.92,,0.7385620915032681,,,,87.0326797385621,0.869281045751634,0.869281045751634,0.869281045751634
random,rrg,0.8,0.3,0.3,1,0.942,,0.79136690647482,,,,78.10071942446044,0.9166666666666666,0.8705035971223022,0.8929889298892989
random,rrg,0.8,0.3,0.3,2,0.918,,0.7371794871794873,,,,87.28205128205128,0.8758169934640523,0.8589743589743589,0.8673139158576051
random,rrg,0.8,0.3,0.3,3,0.924,,0.7121212121212123,,,,78.91666666666667,0.8507462686567164,0.8636363636363636,0.8571428571428571
random,rrg,0.8,0.3,0.3,4,0.926,,0.7482993197278913,,,,84.38095238095238,0.8873239436619719,0.8571428571428571,0.8719723183391004
random,rrg,0.9,0.3,0.3,0,0.962,,0.8716216216216215,,,,77.77702702702703,0.910828025477707,0.9662162162162162,0.9377049180327869
random,rrg,0.9,0.3,0.3,1,0.95,,0.8397435897435896,,,,81.9423076923077,0.9337748344370861,0.9038461538461539,0.9185667752442997
random,rrg,0.9,0.3,0.3,2,0.952,,0.8410596026490065,,,,80.76158940397352,0.9379310344827586,0.9006622516556292,0.918918918918919
random,rrg,0.9,0.3,0.3,3,0.954,,0.8476821192052979,,,,80.79470198675497,0.9102564102564102,0.9403973509933775,0.9250814332247558
random,rrg,0.9,0.3,0.3,4,0.952,,0.8297872340425531,,,,73.7872340425532,0.9148936170212766,0.9148936170212766,0.9148936170212766
random,rrg,1.0,0.3,0.3,0,0.992,,0.9764705882352941,,,,86.9235294117647,0.9770114942528736,1.0,0.9883720930232558
random,rrg,1.0,0.3,0.3,1,1.0,,1.0,,,,79.0,1.0,1.0,1.0
random,rrg,1.0,0.3,0.3,2,0.99,,0.9652777777777778,,,,73.48611111111111,0.9664429530201343,1.0,0.9829351535836178
random,rrg,1.0,0.3,0.3,3,0.992,,0.9735099337748344,,,,77.33774834437087,0.9741935483870968,1.0,0.9869281045751634
random,rrg,1.0,0.3,0.3,4,0.982,,0.9383561643835616,,,,78.78767123287672,0.9419354838709677,1.0,0.9700996677740864
greedyWarmStartMOV,rrg,0.0,0.3,0.3,0,0.696,0.7000017,0.0,-2.5999827,17.595495040762508,20.710049,243.95394736842104,0.0,0.0,0.0
greedyWarmStartMOV,rrg,0.1,0.3,0.3,0,0.706,0.7443949,0.03289473684210529,-2.067264,10.760865201608508,13.125801,213.02631578947367,0.5423728813559322,0.21052631578947367,0.30331753554502366
greedyWarmStartMOV,rrg,0.2,0.3,0.3,0,0.806,0.7749944,0.36184210526315813,-1.7000701,7.135192500517747,9.984718,150.15131578947367,0.7522935779816514,0.5394736842105263,0.6283524904214559
greedyWarmStartMOV,rrg,0.30000000000000004,0.3,0.3,0,0.894,0.8083326,0.6513157894736843,-1.3000107,5.48021195242897,8.115857,109.67105263157895,0.8322147651006712,0.8157894736842105,0.8239202657807309
greedyWarmStartMOV,rrg,0.4,0.3,0.3,0,0.904,0.8421817,0.6842105263157896,-0.8938216,5.081017565847418,6.4131203,101.25,0.8466666666666667,0.8355263157894737,0.8410596026490067
greedyWarmStartMOV,rrg,0.5,0.3,0.3,0,0.91,0.87330264,0.7039473684210528,-0.52036977,4.610761561114593,5.1852345,97.8157894736842,0.8543046357615894,0.8486842105263158,0.8514851485148515
greedyWarmStartMOV,rrg,0.6000000000000001,0.3,0.3,0,0.922,0.9030321,0.7434210526315791,-0.16361561,3.9774249515747733,4.1403923,85.65131578947368,0.869281045751634,0.875,0.8721311475409835
greedyWarmStartMOV,rrg,0.7000000000000001,0.3,0.3,0,0.924,0.9335963,0.7500000000000002,0.203155,3.612466713535024,3.3931022,86.125,0.875,0.875,0.875
greedyWarmStartMOV,rrg,0.8,0.3,0.3,0,0.924,0.9628871,0.7500000000000002,0.5546449,2.926578394186695,2.249801,83.10526315789474,0.875,0.875,0.875
greedyWarmStartMOV,rrg,0.9,0.3,0.3,0,0.926,0.9734156,0.7565789473684212,0.68098706,2.1586811822367045,1.717731,82.9342105263158,0.8807947019867549,0.875,0.877887788778878
greedyWarmStartMOV,rrg,1.0,0.3,0.3,0,0.98,0.9804697,0.9342105263157894,0.7656362,1.3893619396356773,1.4812031,76.5592105263158,0.9382716049382716,1.0,0.9681528662420382
